# lang,native_word_or_phrase,english_name
# ── Malayalam (ml) ────────────────────────────────────────────────────────────
# Groceries
ml,അരി,Rice
ml,ഗോതമ്പ്,Wheat
ml,മാവ്,Flour
ml,പഞ്ചസാര,Sugar
ml,ഉപ്പ്,Salt
ml,ചായപ്പൊടി,Tea Powder
ml,കാപ്പിപ്പൊടി,Coffee Powder
ml,പാൽ,Milk
ml,തൈര്,Curd
ml,നെയ്യ്,Ghee
ml,എണ്ണ,Oil
ml,വെളിച്ചെണ്ണ,Coconut Oil
ml,കടലെണ്ണ,Groundnut Oil
ml,സൂര്യകാന്തി എണ്ണ,Sunflower Oil
ml,കടുകെണ്ണ,Mustard Oil
ml,എള്ളെണ്ണ,Sesame Oil
ml,മഞ്ഞൾപ്പൊടി,Turmeric Powder
ml,മുളകുപ്പൊടി,Chilli Powder
ml,മല്ലിപ്പൊടി,Coriander Powder
ml,ഗരംമസാല,Garam Masala
ml,കടുക്,Mustard Seeds
ml,ജീരകം,Cumin Seeds
ml,കുരുമുളക്,Black Pepper
ml,പുളി,Tamarind
ml,വെളുത്തുള്ളി,Garlic
ml,ഇഞ്ചി,Ginger
ml,കറിവേപ്പില,Curry Leaves
ml,മല്ലിയില,Coriander Leaves
ml,ശർക്കര,Jaggery
ml,തേൻ,Honey
# Dals & Legumes
ml,ചെറുപയർ,Green Gram
ml,ഉഴുന്ന്,Black Gram
ml,കടലപരിപ്പ്,Chana Dal
ml,തുവരപ്പരിപ്പ്,Toor Dal
ml,മസൂർ പരിപ്പ്,Masoor Dal
ml,കടല,Chickpeas
ml,നിലക്കടല,Groundnut
ml,സോയാബീൻ,Soya Beans
# Vegetables
ml,ഉള്ളി,Onion
ml,തക്കാളി,Tomato
ml,ഉരുളക്കിഴങ്ങ്,Potato
ml,വഴുതന,Brinjal
ml,പാവയ്ക്ക,Bitter Gourd
ml,ചുരക്ക,Bottle Gourd
ml,പടവലം,Snake Gourd
ml,വെണ്ടക്ക,Okra
ml,കൊയ്ത്ത്,Cluster Beans
ml,മുരിങ്ങക്ക,Drumstick
ml,കാരറ്റ്,Carrot
ml,മുള്ളങ്കി,Radish
ml,കാബേജ്,Cabbage
ml,കോളിഫ്ലവർ,Cauliflower
ml,ബീൻസ്,Beans
ml,കക്ക,Raw Banana
ml,ചേന,Yam
ml,ചേമ്പ്,Colocasia
# Fruits
ml,നേന്ത്രക്കായ,Banana
ml,മാങ്ങ,Mango
ml,ആപ്പിൾ,Apple
ml,മുന്തിരി,Grapes
ml,ഓറഞ്ച്,Orange
ml,തണ്ണിമത്തൻ,Watermelon
ml,പപ്പായ,Papaya
ml,അനാനാസ്,Pineapple
ml,സ്ട്രോബെറി,Strawberry
ml,ചക്ക,Jackfruit
ml,നാരങ്ങ,Lemon
ml,തക്ക,Guava
ml,കൊക്കോ,Coconut
# Rice & Grains
ml,ബസ്മതി അരി,Basmati Rice
ml,കുക്കൻ അരി,Parboiled Rice
ml,ഇഡ്ഡലി അരി,Idli Rice
ml,റവ,Rava (Semolina)
ml,സൂജി,Sooji (Semolina)
ml,ഗോതമ്പ് മാവ്,Wheat Flour
ml,ഇടിയരി,Rice Flour
ml,കടലമാവ്,Chickpea Flour (Besan)
# Dairy
ml,വെണ്ണ,Butter
ml,ചീസ്,Cheese
ml,പനീർ,Paneer
# Cosmetics & Personal Care
ml,ബിസ്കറ്റ്,Biscuit
ml,സോപ്പ്,Soap
ml,ഷാംപൂ,Shampoo
ml,കണ്ടീഷണർ,Conditioner
ml,പല്ലുതേപ്പ്,Toothpaste
ml,ടൂത്ത് ബ്രഷ്,Toothbrush
ml,ഫേസ് വാഷ്,Face Wash
ml,ക്രീം,Cream
ml,ലോഷൻ,Lotion
ml,ഡിയോഡറന്റ്,Deodorant
ml,ഷേവിംഗ് ക്രീം,Shaving Cream
ml,നഖം മുറിക്കുന്ന ആള,Nail Cutter
ml,ചീർപ്പ്,Comb
ml,അലക്കുപൊടി,Detergent Powder
ml,ഡിഷ് വാഷ്,Dish Wash Liquid
# Household & Electronics
ml,ഫാൻ,Fan
ml,ലൈറ്റ്,Light
ml,ബൾബ്,Bulb
ml,ട്യൂബ് ലൈറ്റ്,Tube Light
ml,സ്വിച്ച്,Switch
ml,പ്ലഗ്,Plug
ml,സോക്കറ്റ്,Socket
ml,വയർ,Wire
ml,എക്സ്റ്റൻഷൻ ബോർഡ്,Extension Board
ml,ബാറ്ററി,Battery
ml,ഇൻവർട്ടർ,Inverter
ml,ചാർജർ,Charger
ml,മൊബൈൽ ഫോൺ,Mobile Phone
ml,ടെലിവിഷൻ,Television
ml,റിമോട്ട്,Remote
ml,ഫ്രിഡ്ജ്,Refrigerator
ml,വാഷിങ് മെഷീൻ,Washing Machine
ml,മിക്സി,Mixer Grinder
ml,ഇസ്തിരിപ്പെട്ടി,Iron Box
ml,വാട്ടർ ഹീറ്റർ,Water Heater
ml,എയർ കണ്ടീഷണർ,Air Conditioner
ml,എയർ കൂളർ,Air Cooler
ml,കമ്പ്യൂട്ടർ,Computer
ml,ലാപ്‌ടോപ്പ്,Laptop
ml,കീബോർഡ്,Keyboard
ml,മൗസ്,Mouse
ml,പ്രിന്റർ,Printer
ml,സ്പീക്കർ,Speaker
ml,ഹെഡ്‌ഫോൺ,Headphone
ml,ഇയർഫോൺ,Earphone
ml,മൈക്രോഫോൺ,Microphone
ml,ക്യാമറ,Camera
ml,പവർ ബാങ്ക്,Power Bank
ml,ജനറേറ്റർ,Generator
ml,ഇലക്ട്രിക് സ്റ്റൗ,Electric Stove
ml,ഇൻഡക്ഷൻ സ്റ്റൗ,Induction Stove
ml,വാക്വം ക്ലീനർ,Vacuum Cleaner
ml,ഇലക്ട്രിക് കെറ്റിൽ,Electric Kettle
ml,കലണ്ടർ,Calendar
ml,പത്രം,Newspaper
ml,ബക്കറ്റ്,Bucket
ml,ചൂൽ,Broom
ml,മോപ്പ്,Mop
ml,ടബ്ബ്,Tub
ml,കത്തി,Knife
ml,കോരി,Ladle
ml,അടുക്കള,Kitchen
ml,ഗ്ലാസ്,Glass
ml,പ്ലേറ്റ്,Plate
ml,കപ്പ്,Cup
ml,ബൗൾ,Bowl
# ── Telugu (te) ───────────────────────────────────────────────────────────────
# Groceries
te,అరిసె,Rice Flour
te,బియ్యం,Rice
te,గోధుమలు,Wheat
te,మైదా,Maida (All-Purpose Flour)
te,బెల్లం,Jaggery
te,పంచదార,Sugar
te,ఉప్పు,Salt
te,చింతపండు,Tamarind
te,తేనె,Honey
te,ఉల్లిపాయ,Onion
te,వెల్లుల్లి,Garlic
te,అల్లం,Ginger
te,టమాటా,Tomato
te,పసుపు,Turmeric
te,మిరపకాయ,Red Chilli
te,పచ్చిమిర్చి,Green Chilli
te,కరివేపాకు,Curry Leaves
te,కొత్తిమీర,Coriander Leaves
te,జీలకర్ర,Cumin Seeds
te,ధనియాలు,Coriander Seeds
te,మెంతులు,Fenugreek Seeds
te,ఆవాలు,Mustard Seeds
te,నువ్వులు,Sesame Seeds
te,వేరుశనగలు,Groundnuts
# Dals
te,కందిపప్పు,Toor Dal
te,మినప పప్పు,Urad Dal
te,పెసర పప్పు,Moong Dal
te,సెనగ పప్పు,Chana Dal
te,మసూర్ పప్పు,Masoor Dal
te,పెసలు,Green Gram (Whole)
te,మినుములు,Urad (Whole)
te,అలసందలు,Black-eyed Peas
